AVG_GRD,Activity_Type,AvgCourse,AvgInstructor,Course,CourseTitle,CrsLvlNum,CrsPBAColl,CrsPBADept,CrsPBADiv,Honors,Hours,Instruction_Mode,Level,NComb,NIntrFCQ,N/ENROLL,N/EOT,N/GRADE,N/INCOMP,N/NOCRED,N/PASS,N/Ret,PCT/A,PCT/B,PCT/C,PCT/C_MINUS_OR_BELOW,PCT/D,PCT/DF,PCT/F,PCT/GRADE,PCT/INCOMP,PCT/WDRAW,RAP,Section,Subject,Subject_Label,Workload/Hrs_Wk,Workload/Raw,YearTerm,Instructors/0/group,Instructors/0/name,Instructors/0/title,Instructors/1/group,Instructors/1/name,Instructors/1/title,Instructors/2/group,Instructors/2/name,Instructors/2/title
2.98,LEC - Lecture,5.4,5.6,4808,Special Topics in World Areas History,4XXX,AS,HIST,AH,0,3,P  - In Person,Upper,2,1,16,16,16,0,0,0,15,0.31,0.5,0.12,0.06,0,0.06,0.06,1,0,0,0,001,HIST,History,7-9,3.40,20137,1 TTT,"MOJOLA, SANYU AMIMO",ASST PROFESSOR,1 TTT,"OSBORNE, MYLES GREGORY",ASST PROFESSOR,,,
3.25,LEC - Lecture,5.15,5,4820,Human Rights: Historical Perspectives,4XXX,AS,HIST,AH,0,3,P  - In Person,Upper,1,1,30,30,30,0,0,0,20,0.5,0.33,0.13,0.03,0.03,0.03,0,1,0,0,0,002,HIST,History,7-9,2.71,20137,1 TTT,"MUKHERJEE, MITHI",ASSOCIATE PROFESSOR,,,,,,
3.84,SEM - Seminar,4.73,4.91,5000,Historical Methods: Introduction to the Professional Study of History,5XXX,AS,HIST,AH,0,3,P  - In Person,Masters,1,1,13,13,13,0,0,0,11,1,0,0,0,0,0,0,1,0,0,1,801,HIST,History,10-12,3.55,20137,1 TTT,"MUKHERJEE, MITHI",ASSOCIATE PROFESSOR,,,,,,
3.9,SEM - Seminar,5.27,5.36,6410,Readings in Environmental History,6XXX,AS,HIST,AH,0,3,P  - In Person,Masters,1,1,13,13,13,0,0,0,11,0.92,0.08,0,0,0,0,0,1,0,0,1,802,HIST,History,10-12,4.36,20137,1 TTT,"SUTTER, PAUL SHRIVER",ASSOCIATE PROFESSOR,,,,,,
3.8,SEM - Seminar,5.71,5.93,7052,Seminar: Modern European History,7XXX,AS,HIST,AH,0,3,P  - In Person,Doctoral,1,1,14,14,10,4,0,0,14,0.8,0.2,0,0,0,0,0,0.71,0.29,0,1,801,HIST,History,10-12,3.75,20137,1 TTT,"HANNA, MARTHA",PROFESSOR,,,,,,
4,SEM - Seminar,5.67,5.78,1001,Honors Coseminar,1XXX,AS,HONR,SS,1,1,HN - Honors Thesis Courses,Lower,1,1,14,14,14,0,0,0,9,1,0,0,0,0,0,0,1,0,0,0,880,HONR,Honors,0-3,1.14,20137,1 TTT,"BREED, MICHAEL D",PROFESSOR,,,,,,
3.21,SEM - Seminar,5.13,5.5,1810,Honors Diversity Seminar,1XXX,AS,HONR,SS,1,3,HN - Honors Thesis Courses,Lower,1,1,12,12,12,0,0,0,8,0.83,0,0,0.17,0,0.17,0.17,1,0,0,0,880,HONR,Honors,7-9,3.00,20137,3 Supp,"KEASLEY, ALPHONSE",ASST VICE CHANCELLOR,,,,,,
3.76,LEC - Lecture,5.36,5.73,2250,Ethics of Ambition,2XXX,AS,HONR,SS,1,3,HN - Honors Thesis Courses,Lower,1,1,16,16,16,0,0,0,11,0.81,0.19,0,0,0,0,0,1,0,0,0,880,HONR,Honors,4-6,2.36,20137,2 Other reg,"STROM, PAUL",SENIOR INSTRUCTOR,,,,,,
3.8,LEC - Lecture,,,2250,Ethics of Ambition,2XXX,AS,HONR,SS,1,3,P  - In Person,Lower,1,,17,16,16,0,0,0,,0.88,0.13,0,0,0,0,0,1,0,0.06,0,888,HONR,Honors,,,20137,2 Other reg,"STROM, PAUL",SENIOR INSTRUCTOR,,,,,,
3.96,SEM - Seminar,5.08,5.54,2251,Introduction to the Bible,2XXX,AS,HONR,SS,1,3,HN - Honors Thesis Courses,Lower,1,1,14,14,14,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,880,HONR,Honors,4-6,1.73,20137,1 TTT,"KOPFF, E CHRISTIAN",ASSOCIATE PROFESSOR,,,,,,
